#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
-1.7175434343788978,-0.04800694965395127,-0.06763058680954,-1.0142273064467187,-0.9704836778172914,-0.9729274266192983,-0.8308058341139829,-0.24542621929801198,-0.25641152048691146,-0.8076090171475875,-1.4017320594375378,False
-1.7141250123176883,-0.04800694965395127,-0.06763058680954,-0.28714487377322695,-0.40307760153377414,-0.5678021059693964,-0.37480672289005823,0.21752607499234897,0.2929706478742286,-0.3027390539930366,-1.4017320594375378,False
-1.7107065902564789,-0.04800694965395127,-0.06763058680954,0.715727447155727,0.3534638335109155,0.05546761810737585,0.2766205788584057,0.8347958007128302,1.0254802056890822,0.37042089687969787,-1.4017320594375378,False
-1.7107065902564789,-0.04800694965395127,-0.06763058680954,1.5514543812631887,0.3534638335109155,0.6164103697764709,1.5794751823553335,1.5137924990053595,1.7579897635039357,0.37042089687969787,-1.4017320594375378,False
-1.7072881681952694,-0.5888199335107067,0.8999396227507056,-1.08944273051639,-1.1974461083306982,-0.8794369680077825,-1.0262340246385222,-0.3997436507281323,-0.8057936888480516,-0.13444906627485298,-1.4017320594375378,False
-1.7038697461340602,-0.5888199335107067,0.8999396227507056,-0.28714487377322695,-0.4787317450382431,-0.5054751335617191,-0.5376635483271742,0.21752607499234897,-0.25641152048691146,0.37042089687969787,-1.4017320594375378,False
-1.7004513240728507,-0.5888199335107067,-1.0352007963697856,0.7909428712253986,0.2778096900064465,0.11779459051505307,0.11376375342128972,1.1125671772870467,0.476098037327942,1.0435808477524324,-1.4017320594375378,False
-1.7004513240728507,-0.5888199335107067,-1.8415093043366568,1.6266698053328603,0.2778096900064465,1.5513149558916293,1.188618801306255,1.760700389293552,0.476098037327942,1.0435808477524324,-1.4017320594375378,False
-1.7004513240728507,-0.5888199335107067,-1.0352007963697856,1.6266698053328603,0.2778096900064465,0.7410643145918253,0.11376375342128972,2.65574149158825,1.5748623740502221,1.0435808477524324,-1.4017320594375378,False
-1.6970329020116413,1.3941610072973964,0.8999396227507056,-1.0476563838110171,-1.0083107495695258,-1.004090912823137,-0.30966399271521183,-0.7083785135883729,-0.2930369983776541,-0.8749250122348609,-1.4017320594375378,False
-1.6936144799504318,1.3941610072973964,0.8999396227507056,-0.28714487377322695,-0.44090467328600863,-0.5366386197655578,0.17890648359613612,-0.24542621929801198,0.2929706478742286,-0.37005504908031006,-1.4017320594375378,False
-1.6901960578892226,1.3941610072973964,0.8999396227507056,0.7575137938611001,0.315636761758681,0.08663110431121446,0.8303337853446,0.37184350642246927,1.2086075951427955,0.30310490179242444,-1.4017320594375378,False
-1.6901960578892226,1.3941610072973964,0.8999396227507056,1.5932407279685619,0.315636761758681,0.7099008283879867,1.481761087093064,1.9150178207236723,1.5748623740502221,0.30310490179242444,-1.4017320594375378,False
-1.686777635828013,-1.6704459012242174,0.8999396227507056,-2.0421714353988962,-0.9704836778172914,-1.565033664492232,-1.2868049453379078,-1.6342831021690947,-1.9045580255703318,-0.8076090171475875,-1.4017320594375378,False
